gamma,log10_gamma,cost_mean,cost_std,ari_mean,ari_std
0.001,-3.0,11703.372947271477,0.012010421408376715,0.013029090748651502,0.00037495070716613097
0.003511191734215131,-2.4545454545454546,11727.656134859964,0.09491623003214045,0.013406717604335816,0.0007525775628504451
0.012328467394420659,-1.9090909090909092,11813.270409464767,0.034667356181671494,0.013029090748651502,0.00037495070716613097
0.04328761281083057,-1.3636363636363638,12113.438252905213,0.07024059713239694,0.013592519140504317,0.00018847768468668437
0.1519911082952933,-0.8181818181818183,13167.807944890756,1.2862197421537486e-12,0.013780996825191,0.0
0.5336699231206307,-0.272727272727273,16866.94472586688,0.020883175184280844,0.0128412820967619,0.00018714205527652853
1.873817422860383,0.2727272727272725,30332.36101232407,599.653816216869,-0.007911156984134613,0.007285599982175657
6.579332246575675,0.8181818181818179,72280.7775190496,0.0,-0.000606902995659933,0.0
23.10129700083158,1.3636363636363633,217459.28181469618,2.9103830456733704e-11,-0.000606902995659933,0.0
81.11308307896856,1.9090909090909083,727208.8460832852,0.0,-0.000606902995659933,0.0
284.8035868435799,2.454545454545454,2517037.302662924,0.0,-0.000606902995659933,0.0
1000.0,3.0,8801468.1850684,0.0,-0.000606902995659933,0.0
